emissionprobs	8	13	H4k20me1	1	0.003551212669027841
emissionprobs	8	14	Pol2b	0	0.7607063978771831
emissionprobs	8	14	Pol2b	1	0.239293602122817
emissionprobs	9	0	Ctcf	0	0.9692418862104715
emissionprobs	9	0	Ctcf	1	0.03075811378952848
emissionprobs	9	1	Ezh239875	0	0.9650856716219647
emissionprobs	9	1	Ezh239875	1	0.03491432837803533
emissionprobs	9	2	H2az	0	0.6913906988105543
emissionprobs	9	2	H2az	1	0.3086093011894457
emissionprobs	9	3	H3k09me3	0	0.9918740440372023
emissionprobs	9	3	H3k09me3	1	0.008125955962797807
emissionprobs	9	4	H3k27ac	0	0.8719905303118503
emissionprobs	9	4	H3k27ac	1	0.1280094696881498
emissionprobs	9	5	H3k27me3	0	0.9977758282247969
emissionprobs	9	5	H3k27me3	1	0.002224171775203008
emissionprobs	9	6	H3k36me3	0	0.9825602257737691
emissionprobs	9	6	H3k36me3	1	0.017439774226230907
emissionprobs	9	7	H3k4me1	0	0.22512620836773517
emissionprobs	9	7	H3k4me1	1	0.7748737916322648
emissionprobs	9	8	H3k4me2	0	0.7581401285694688
emissionprobs	9	8	H3k4me2	1	0.24185987143053128
emissionprobs	9	9	H3k4me3	0	0.9973295925427317
emissionprobs	9	9	H3k4me3	1	0.0026704074572683734
emissionprobs	9	10	H3k79me2	0	0.9920518503058049
emissionprobs	9	10	H3k79me2	1	0.007948149694195059
emissionprobs	9	11	H3k9ac	0	0.9923730590375567
emissionprobs	9	11	H3k9ac	1	0.007626940962443328
emissionprobs	9	12	H3k9me1	0	0.9856761209297428
emissionprobs	9	12	H3k9me1	1	0.014323879070257266
emissionprobs	9	13	H4k20me1	0	0.9974801422661976
emissionprobs	9	13	H4k20me1	1	0.0025198577338023643
emissionprobs	9	14	Pol2b	0	0.9606193361437393
emissionprobs	9	14	Pol2b	1	0.03938066385626071
emissionprobs	10	0	Ctcf	0	0.9573310729093619
emissionprobs	10	0	Ctcf	1	0.04266892709063811
emissionprobs	10	1	Ezh239875	0	0.9831551036315006
emissionprobs	10	1	Ezh239875	1	0.01684489636849942
emissionprobs	10	2	H2az	0	0.9271016386390939
emissionprobs	10	2	H2az	1	0.07289836136090612
emissionprobs	10	3	H3k09me3	0	0.9970547223771653
emissionprobs	10	3	H3k09me3	1	0.00294527762283471
emissionprobs	10	4	H3k27ac	0	0.6293439760818583
emissionprobs	10	4	H3k27ac	1	0.3706560239181417
emissionprobs	10	5	H3k27me3	0	0.9993088094385395
emissionprobs	10	5	H3k27me3	1	6.911905614605498E-4
emissionprobs	10	6	H3k36me3	0	0.7966264394844215
emissionprobs	10	6	H3k36me3	1	0.20337356051557853
emissionprobs	10	7	H3k4me1	0	0.18849895231571007
emissionprobs	10	7	H3k4me1	1	0.81150104768429
emissionprobs	10	8	H3k4me2	0	0.429822355936315
emissionprobs	10	8	H3k4me2	1	0.570177644063685
emissionprobs	10	9	H3k4me3	0	0.8130139089603632
emissionprobs	10	9	H3k4me3	1	0.18698609103963673
emissionprobs	10	10	H3k79me2	0	0.08760394959024106
emissionprobs	10	10	H3k79me2	1	0.912396050409759
emissionprobs	10	11	H3k9ac	0	0.8700772284201017
emissionprobs	10	11	H3k9ac	1	0.12992277157989826
emissionprobs	10	12	H3k9me1	0	0.9219068739667492
emissionprobs	10	12	H3k9me1	1	0.07809312603325072
emissionprobs	10	13	H4k20me1	0	0.8900106597873475
emissionprobs	10	13	H4k20me1	1	0.10998934021265243
emissionprobs	10	14	Pol2b	0	0.8244298113719755
emissionprobs	10	14	Pol2b	1	0.17557018862802454
emissionprobs	11	0	Ctcf	0	0.9908045810537116
emissionprobs	11	0	Ctcf	1	0.009195418946288485
emissionprobs	11	1	Ezh239875	0	0.9935882280329825
emissionprobs	11	1	Ezh239875	1	0.006411771967017404
emissionprobs	11	2	H2az	0	0.9970405235944563
emissionprobs	11	2	H2az	1	0.002959476405543724
emissionprobs	11	3	H3k09me3	0	0.9948890715750587
emissionprobs	11	3	H3k09me3	1	0.0051109284249412894
emissionprobs	11	4	H3k27ac	0	0.9961070345308524
emissionprobs	11	4	H3k27ac	1	0.003892965469147705
emissionprobs	11	5	H3k27me3	0	0.9994615456041706
emissionprobs	11	5	H3k27me3	1	5.384543958295066E-4
emissionprobs	11	6	H3k36me3	0	0.9025574830034143
emissionprobs	11	6	H3k36me3	1	0.09744251699658567
emissionprobs	11	7	H3k4me1	0	0.974824217653068
emissionprobs	11	7	H3k4me1	1	0.025175782346931963
emissionprobs	11	8	H3k4me2	0	0.9977545093014761
emissionprobs	11	8	H3k4me2	1	0.002245490698523926
emissionprobs	11	9	H3k4me3	0	0.9998688235127993
emissionprobs	11	9	H3k4me3	1	1.3117648720071084E-4
emissionprobs	11	10	H3k79me2	0	0.20273024162112088
emissionprobs	11	10	H3k79me2	1	0.797269758378879
emissionprobs	11	11	H3k9ac	0	0.9988404538552913
emissionprobs	11	11	H3k9ac	1	0.0011595461447086344
